*****************************************************
Dataset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\am_lb3_small.dag
V:403394,E:144514,lbs:3
Queryset:D:\Documents\_prog\prog_cust\eclipse-workspace\graph_expr\input_files\1query.qry
Algorithm:DagEval_ansgr
id,status,preTime,planTime,matchTime,enumTime,totTime,numNodesBefore,numNodesAfter,numSoln,numPlans,sizeOfAG
0,success,.33,.00,.04,.02,.39,403394,16334,14106,0,32810
Average,running,time:,
id,status,preTime,planTime,matchTime,enumTime,totTime,totNodesBefore,totNodesAfter,numOfTuples,numPlans,sizeOfAG
0,success,.33,.00,.04,.02,.39,403394,16334,14106,0,32810

Data loading Time,.95
Index building Time,.34
Average Eval Time per run,.39
Average Eval Time per query,.39
Average pruning Time per run,.00
Average pruning Time per query,.00
Average Plan Time per run,.00
Average Plan Time per query,.00
Average Matching Time per run,.04
Average Matching Time per query,.04
Average Enumeration Time per run,.02
Average Enumeration Time per query,.02
Average Nodes before per query,403394.00
Average Nodes after per query,16334.00
Average number of solution tuples per query,14106.00
Max Used Memory,420.00 MB
*****************************************************
